ID,answer
TG_A_J_20230304,3485.4576377266735
TG_A_J_20230305,0.0
TG_A_J_20230306,3360.3177725402797
TG_A_J_20230307,3363.3847940827336
TG_A_J_20230308,3440.474288394533
TG_A_J_20230309,3685.8859540459353
TG_A_J_20230310,3799.9656688341324
TG_A_J_20230311,3290.855373495045
TG_A_J_20230312,0.0
TG_A_J_20230313,3497.6280737882944
TG_A_J_20230314,3448.2556991668193
TG_A_J_20230315,3563.014914935569
TG_A_J_20230316,4077.5811076152395
TG_A_J_20230317,5289.7937807781
TG_A_J_20230318,4130.3894400712725
TG_A_J_20230319,0.0
TG_A_J_20230320,4621.269218928106
TG_A_J_20230321,4891.0852661498075
TG_A_J_20230322,4766.638285579147
TG_A_J_20230323,4636.14688606916
TG_A_J_20230324,6351.742529196197
TG_A_J_20230325,5183.530113068465
TG_A_J_20230326,0.0
TG_A_J_20230327,6409.095484951148
TG_A_J_20230328,5798.8276211995435
TG_A_J_20230329,5910.4717718261145
TG_A_J_20230330,5855.67516510749
TG_A_J_20230331,6626.033307486588
TG_A_S_20230304,4116.76543612925
TG_A_S_20230305,0.0
TG_A_S_20230306,4242.06660605553
TG_A_S_20230307,4338.959248312447
TG_A_S_20230308,4371.029709654906
TG_A_S_20230309,4379.578076284552
TG_A_S_20230310,4511.490984097606
TG_A_S_20230311,4259.756323299666
TG_A_S_20230312,0.0
TG_A_S_20230313,4283.799347063224
TG_A_S_20230314,4401.182752692596
TG_A_S_20230315,4366.662031857659
TG_A_S_20230316,4561.724156162387
TG_A_S_20230317,4625.882657170582
TG_A_S_20230318,4470.260832559044
TG_A_S_20230319,0.0
TG_A_S_20230320,4936.757412230511
TG_A_S_20230321,4943.002784353164
TG_A_S_20230322,5006.303091408616
TG_A_S_20230323,5249.3765678107575
TG_A_S_20230324,5242.574479477144
TG_A_S_20230325,5124.682508803912
TG_A_S_20230326,0.0
TG_A_S_20230327,5333.618563009753
TG_A_S_20230328,5252.666845976282
TG_A_S_20230329,5373.893985309359
TG_A_S_20230330,5523.589677204982
TG_A_S_20230331,5515.420777747852
TG_B_J_20230304,3493.267615797436
TG_B_J_20230305,0.0
TG_B_J_20230306,3874.2721154590777
TG_B_J_20230307,3890.8241201067112
TG_B_J_20230308,4080.6991210493557
TG_B_J_20230309,4374.956601521283
TG_B_J_20230310,3971.1139660304675
TG_B_J_20230311,3635.6386243177694
TG_B_J_20230312,0.0
TG_B_J_20230313,3505.3045968329243
TG_B_J_20230314,3528.154515328736
TG_B_J_20230315,2878.2884096033317
TG_B_J_20230316,4322.942056482256
TG_B_J_20230317,4750.6259485861065
TG_B_J_20230318,2918.15071723295
TG_B_J_20230319,0.0
TG_B_J_20230320,3676.897221196111
TG_B_J_20230321,4694.326447694722
TG_B_J_20230322,3475.9755060950497
TG_B_J_20230323,2858.178224176238
TG_B_J_20230324,4604.995555508013
TG_B_J_20230325,3464.4210111082416
TG_B_J_20230326,0.0
TG_B_J_20230327,6289.083372020611
TG_B_J_20230328,3949.648495122556
TG_B_J_20230329,5570.227983543615
TG_B_J_20230330,6270.878500689456
TG_B_J_20230331,6252.606580563008
TG_B_S_20230304,3750.7370497902425
TG_B_S_20230305,0.0
TG_B_S_20230306,3918.4486788380846
TG_B_S_20230307,4034.4258710729155
TG_B_S_20230308,3993.1199736609487
TG_B_S_20230309,4013.9580080562905
TG_B_S_20230310,4200.231896012608
TG_B_S_20230311,3843.900978788572
TG_B_S_20230312,0.0
TG_B_S_20230313,3921.129051512372
TG_B_S_20230314,4128.081651903797
TG_B_S_20230315,3997.6162031738095
TG_B_S_20230316,4176.557805402302
TG_B_S_20230317,4192.130060851888
TG_B_S_20230318,4056.4333967288685
TG_B_S_20230319,0.0
TG_B_S_20230320,4557.204512013747
