,ID,timestamp,item,corporation,location,supply(kg)_x,price(원/kg),Date,week,day_name,year,month,day,기간,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지,supply(kg)_y,전체 거래량
45690,BC_A_J_20190101,2019-01-01,BC,A,J,0.0,0.0,2019-01-01,1.0,Tuesday,2019,1,1.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45691,BC_A_J_20190102,2019-01-02,BC,A,J,0.0,0.0,2019-01-02,1.0,Wednesday,2019,1,2.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45692,BC_A_J_20190103,2019-01-03,BC,A,J,7616.0,2559.0,2019-01-03,1.0,Thursday,2019,1,3.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45693,BC_A_J_20190104,2019-01-04,BC,A,J,7488.0,2425.0,2019-01-04,1.0,Friday,2019,1,4.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45694,BC_A_J_20190105,2019-01-05,BC,A,J,10408.0,2097.0,2019-01-05,1.0,Saturday,2019,1,5.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45695,BC_A_J_20190106,2019-01-06,BC,A,J,0.0,0.0,2019-01-06,1.0,Sunday,2019,1,6.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45696,BC_A_J_20190107,2019-01-07,BC,A,J,11320.0,1812.0,2019-01-07,2.0,Monday,2019,1,7.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45697,BC_A_J_20190108,2019-01-08,BC,A,J,8064.0,1998.0,2019-01-08,2.0,Tuesday,2019,1,8.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45698,BC_A_J_20190109,2019-01-09,BC,A,J,6624.0,2063.0,2019-01-09,2.0,Wednesday,2019,1,9.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45699,BC_A_J_20190110,2019-01-10,BC,A,J,8352.0,1920.0,2019-01-10,2.0,Thursday,2019,1,10.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45700,BC_A_J_20190111,2019-01-11,BC,A,J,7464.0,1934.0,2019-01-11,2.0,Friday,2019,1,11.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
45701,BC_A_J_20190112,2019-01-12,BC,A,J,10232.0,2078.0,2019-01-12,2.0,Saturday,2019,1,12.0,2019-01,꽃양배추와 브로콜리(broccoli),160.0,1.0,638913.0,563.0,-562.0,695871.0,639073.0
